value,hits,bytes,cost,Price,dup
Eminence%2BCeramic%2BStone%2BTop%2BDouble%2BExtending%2BTable%2Blarge.glb,5,544,0.0,1099.0,False
bed%2B4%25276.glb,5,544,0.0,1005.0,False
3%2BSeater.glb,5,544,0.0,499.0,True
2%2BSeater.glb,5,544,0.0,499.0,True
Stool.glb,5,544,0.0,179.0,False
Triple%2BWaredrobe.glb,5,544,0.0,499.0,False
4%25276%2BBed.glb,5,544,0.0,699.0,False
5%25270%2BBed.glb,5,544,0.0,699.0,False
Siren%2BWalnut.glb,5,544,0.0,299.0,False
,5,544,0.0,,False
cabinet_01.usdz,5,544,0.0,899.0,False
,5,544,0.0,,False
HavanaBed46.usdz,4,9286236,0.0,499.0,False
EZLivingInteriors_-_SorrentoChair.usdz,4,79838439,0.0,79.0,False
,4,1836,0.0,,False
EminenceTobaccoClosed.usdz,4,6287452,0.0,1099.0,False
LargeSideboard.glb,4,544,0.0,1365.0,False
SideTable.glb,4,544,0.0,649.0,False
WritingDesk.glb,4,544,0.0,649.0,False
SmallSideboard.glb,4,544,0.0,219.0,False
frameblue.glb,3,544,0.0,649.0,False
framepink.glb,3,544,0.0,649.0,False
framegreen.glb,3,544,0.0,649.0,False
EminenceTaupeOpen.usdz,3,3770925,0.0,1099.0,False
Left_Taupe.glb,3,544,0.0,999.0,False
Left_Black.glb,3,544,0.0,999.0,False
Giove_Taupe_Closed.glb,3,544,0.0,899.0,False
Giove_Taupe_Opened.glb,3,544,0.0,899.0,False
Giove_Black_Opened.glb,3,544,0.0,899.0,False
Giove_Black_Closed.glb,3,544,0.0,899.0,False
',2,0,0.0,649.0,True
,2,14198640,0.0,,False
Blue.glb,2,0,0.0,308.0,True
Charcoal.glb,2,0,0.0,308.0,True
Pink.glb,2,0,0.0,308.0,True
Green.glb,2,0,0.0,308.0,True
',2,0,0.0,699.0,True
EZLivingInteriors_-_Sorrento2Seater.usdz,2,62089150,0.0,649.0,False
,2,0,0.0,,False
',1,0,0.0,1199.0,True
',1,0,0.0,649.0,True
',1,0,0.0,359.0,True
',1,0,0.0,179.0,True
',1,0,0.0,299.0,True
',1,0,0.0,349.0,True
',1,0,0.0,799.0,True
',1,0,0.0,399.0,True
',1,0,0.0,1199.0,True
',1,0,0.0,99.0,True
',1,0,0.0,1365.0,True
',1,0,0.0,749.0,True
